confusion_category,position_relative_to_snv,mean_attention
FN,-128,0.016031192978844047
FN,-127,0.017890687808394434
FN,-126,0.018748280564323067
FN,-125,0.0189124262239784
FN,-124,0.018963291672989727
FN,-123,0.019028060641139745
FN,-122,0.018842118037864567
FN,-121,0.0183722079731524
FN,-120,0.018450124394148587
FN,-119,0.018374895816668867
FN,-118,0.01827307599596679
FN,-117,0.01828661556355655
FN,-116,0.018275063754990696
FN,-115,0.018213783046230673
FN,-114,0.018219835748896004
FN,-113,0.018292244970798493
FN,-112,0.018344476446509363
FN,-111,0.018445992590859533
FN,-110,0.018440677421167492
FN,-109,0.01862798354588449
FN,-108,0.018701224653050304
FN,-107,0.018645589835941792
FN,-106,0.01863562664017081
FN,-105,0.0187248573359102
FN,-104,0.018550548413768412
FN,-103,0.018680989956483245
FN,-102,0.01878075906075537
FN,-101,0.018840330010280012
FN,-100,0.01869122794829309
FN,-99,0.01857305102981627
FN,-98,0.018622644897550344
FN,-97,0.018618396045640112
FN,-96,0.018695425409823656
FN,-95,0.01864736808463931
FN,-94,0.018682116037234665
FN,-93,0.018794599594548343
FN,-92,0.018811582885682583
FN,-91,0.018904406391084195
FN,-90,0.018890837952494622
FN,-89,0.01899363437667489
FN,-88,0.01899049639701843
FN,-87,0.019093015678226948
FN,-86,0.019128577271476387
FN,-85,0.019005577359348536
FN,-84,0.01903476083651185
FN,-83,0.019075316591188312
FN,-82,0.018837053263559937
FN,-81,0.01893250842578709
FN,-80,0.019077230794355273
FN,-79,0.01915897157974541
FN,-78,0.019349755262956025
FN,-77,0.019572311462834478
FN,-76,0.019483839515596627
FN,-75,0.019423637352883816
FN,-74,0.019533555814996363
FN,-73,0.01944648995064199
FN,-72,0.019491409687325358
FN,-71,0.019516506092622878
FN,-70,0.019605615939944983
FN,-69,0.019402160374447704
FN,-68,0.01929342806339264
FN,-67,0.019357861345633866
FN,-66,0.019521467676386236
FN,-65,0.01937444293871522
FN,-64,0.01943565214984119
FN,-63,0.01925902584567666
FN,-62,0.019433371582999827
FN,-61,0.019336480228230358
FN,-60,0.019209573594853282
FN,-59,0.019548741346225144
FN,-58,0.01954611130990088
FN,-57,0.019637542832642792
FN,-56,0.019567801058292388
FN,-55,0.01984271132387221
FN,-54,0.019895467953756452
FN,-53,0.019850991750136018
FN,-52,0.019789147535339
FN,-51,0.019871425749734044
FN,-50,0.019879518784582616
FN,-49,0.019855305543169378
FN,-48,0.0197975733038038
FN,-47,0.019827339947223663
FN,-46,0.01978197424672544
FN,-45,0.019753440329805017
FN,-44,0.019799732929095627
FN,-43,0.019569211089983583
FN,-42,0.019778918512165546
FN,-41,0.02003217373043299
FN,-40,0.02004012232646346
FN,-39,0.02009021538309753
FN,-38,0.02009315916337073
FN,-37,0.01990551147609949
FN,-36,0.019667046917602418
FN,-35,0.019546939451247455
FN,-34,0.01956543615087867
FN,-33,0.019542413521558045
FN,-32,0.019647972006350756
FN,-31,0.019581860788166525
FN,-30,0.019448910718783737
FN,-29,0.01964797425083816
FN,-28,0.01970222866162658
FN,-27,0.019798349915072323
FN,-26,0.019813176160678268
FN,-25,0.019748121267184615
FN,-24,0.01966602949425578
FN,-23,0.01966289561241865
FN,-22,0.01957533260807395
FN,-21,0.01949449773877859
FN,-20,0.019555506445467472
FN,-19,0.019532422851771116
FN,-18,0.01970365927554667
FN,-17,0.019749451698735355
FN,-16,0.01943345378153026
FN,-15,0.019391265232115984
FN,-14,0.01938340036198497
FN,-13,0.0196140268817544
FN,-12,0.019515893515199424
FN,-11,0.019603194585070014
FN,-10,0.019554196763783692
FN,-9,0.019515843838453294
FN,-8,0.019750227276235818
FN,-7,0.01984157000668347
FN,-6,0.019974693860858678
FN,-5,0.01983255982398987
FN,-4,0.019921783283352854
FN,-3,0.02002112769521773
FN,-2,0.019715106757357718
FN,-1,0.01968389100395143
FN,0,0.0197096274420619
FN,1,0.01963759995996952
FN,2,0.019701932603493334
FN,3,0.019480219334363936
FN,4,0.0194766837451607
FN,5,0.01955734092742205
FN,6,0.019691685223951937
FN,7,0.01979837130755186
FN,8,0.01981863162480295
FN,9,0.01982867547310889
FN,10,0.01980691003613174
FN,11,0.01972694947384298
FN,12,0.01974819716066122
FN,13,0.019798697251826525
FN,14,0.019830580316483975
FN,15,0.019811981953680516
FN,16,0.019829412568360568
FN,17,0.01971922505646944
FN,18,0.019791556717827917
FN,19,0.019624688271433113
FN,20,0.019518281053751706
FN,21,0.019413340762257578
FN,22,0.019382490972056986
FN,23,0.019377743806689978
FN,24,0.01942726667970419
FN,25,0.019424949325621128
FN,26,0.019289967343211173
FN,27,0.01919610829092562
FN,28,0.019187093283981084
FN,29,0.019299063067883253
FN,30,0.019143310794606804
FN,31,0.01919962606392801
FN,32,0.019226575857028364
FN,33,0.019234929075464605
FN,34,0.019236211339011787
FN,35,0.01907284406013787
FN,36,0.019003151459619404
