confusion_category,raw_left_flank_100_50,raw_right_flank_50_100,raw_snv_pm10,raw_snv_pm25,plotted_left_flank_100_50,plotted_right_flank_50_100,plotted_snv_pm10,plotted_snv_pm25
FN,0.01924970281127767,0.01925861067211657,0.019729460856566825,0.019601817090685168,0.01924970281127767,0.01925861067211657,0.019729460856566825,0.019601817090685168
FP,0.01972360177367341,0.01892052064686283,0.023362317306566096,0.022214606049470606,0.01972360177367341,0.01892052064686283,0.023362317306566096,0.022214606049470606
TN,0.01909938916819645,0.019136237676127578,0.01971581222799917,0.019796788030614455,0.01909938916819645,0.019136237676127578,0.01971581222799917,0.019796788030614455
TP,0.02094812176464235,0.019900664851325106,0.025390972177985877,0.025240058240791164,0.02094812176464235,0.019900664851325106,0.025390972177985877,0.025240058240791164
