confusion_category,raw_left_flank_100_50,raw_right_flank_50_100,raw_snv_pm10,raw_snv_pm25,plotted_left_flank_100_50,plotted_right_flank_50_100,plotted_snv_pm10,plotted_snv_pm25
FN,0.009776064923453126,0.01000364245956435,0.009904219866286786,0.009849049984167019,0.009776064923453126,0.01000364245956435,0.009904219866286786,0.009849049984167019
FP,0.010049869232153629,0.010098099252300373,0.010898145474050016,0.0107721328457507,0.010049869232153629,0.010098099252300373,0.010898145474050016,0.0107721328457507
TN,0.009631428193739232,0.009887846734319979,0.009775101987511983,0.009711918024191012,0.009631428193739232,0.009887846734319979,0.009775101987511983,0.009711918024191012
TP,0.010106568933446325,0.009996066825811332,0.009964215753466956,0.010014562031875054,0.010106568933446325,0.009996066825811332,0.009964215753466956,0.010014562031875054
