k,assay,train_indiv,train_rows,train_unique,val_rows,val_unique,n_test_files,n_crossdonor_sets,test_rows_mean,val_leaked_frac,primary_test_leaked_frac,crossdonor_leaked_frac_mean,crossdonor_leaked_frac_std,crossdonor_leaked_frac_min,crossdonor_leaked_frac_max,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,train_within_dup_frac,label_conflict_seqs_in_test_mean,crossdonor_set_01,crossdonor_set_02,crossdonor_set_03,crossdonor_set_04,crossdonor_set_05,crossdonor_set_06,crossdonor_set_07,crossdonor_set_08,crossdonor_set_09,crossdonor_set_10
3,ATACseq,1,27662,25281,3458,3407,11,10,3458.0,0.1474840948525159,0.14661654135338345,0.8383458646616543,0.2431239748347828,0.14661654135338345,0.9239444765760555,0.7754613807245385,0.14661654135338345,0.9239444765760555,0.08607475959800448,84.45454545454545,0.14661654135338345,0.9132446500867554,0.9120879120879121,0.9178716020821284,0.9222093695777906,0.9019664545980336,0.917004048582996,0.9132446500867554,0.915268941584731,0.9239444765760555
3,ATACseq,2,64920,55806,8115,7868,11,10,8115.0,0.23425754775107824,0.244362292051756,0.8551201478743067,0.214612556280925,0.244362292051756,0.926309303758472,0.799596706435893,0.244362292051756,0.926309303758472,0.14038817005545287,594.8181818181819,0.244362292051756,0.9211337030191005,0.9202711028958719,0.9261860751694393,0.9260628465804066,0.9200246457178065,0.9222427603203943,0.926309303758472,0.9211337030191005,0.9234750462107209
3,ATACseq,3,67564,57988,8446,8188,11,10,8446.0,0.22791854132133554,0.24603362538479753,0.8571749940800378,0.21474746168598607,0.24603362538479753,0.9284868576841108,0.8016166878350159,0.24603362538479753,0.9284868576841108,0.14173228346456693,603.0,0.24603362538479753,0.9276580629883969,0.9284868576841108,0.9215013023916647,0.9230404925408477,0.9269476675349277,0.9270660667771726,0.9216197016339095,0.9250532796590102,0.9243428842055411
3,ATACseq,4,53016,44999,6627,6395,11,10,6627.0,0.2275539459785725,0.25033952014486194,0.8560283687943263,0.2128519536214488,0.25033952014486194,0.9290780141843972,0.8009657461898295,0.25033952014486194,0.9290780141843972,0.15121850007544893,427.45454545454544,0.25033952014486194,0.9201750414969065,0.9259091594990192,0.9230421004979629,0.9242492832352497,0.9290780141843972,0.9231929983401237,0.9161007997585634,0.9203259393390675,0.9278708314471104
3,CTCF,1,34643,21721,4330,3783,11,10,4331.0,0.502771362586605,0.5172015700761948,0.9092819210344032,0.13782733622754087,0.5172015700761948,0.9602863080120064,0.8736382527654751,0.5172015700761948,0.9602863080120064,0.37300464740351585,473.27272727272725,0.5172015700761948,0.9482798429923806,0.9528977141537751,0.9462018009697529,0.9602863080120064,0.9561302239667513,0.9498960978988686,0.9533595012699145,0.9570537981990302,0.9515123528053567
3,CTCF,2,32947,21288,4118,3562,11,10,4119.0,0.48712967459932005,0.48142753095411506,0.9012138868657443,0.14750582820711092,0.48142753095411506,0.9499878611313426,0.863051490873778,0.48142753095411506,0.9499878611313426,0.35387136916866485,386.6363636363636,0.48142753095411506,0.9470745326535567,0.949502306385045,0.9499878611313426,0.9448895362952173,0.949502306385045,0.948045642146152,0.9478028647730031,0.9470745326535567,0.9468317552804079
3,CTCF,3,31091,17477,3886,3207,11,10,3887.0,0.5813175501801339,0.5924877797787497,0.9217391304347826,0.11571160366925115,0.5924877797787497,0.9606380241831747,0.8918071894660524,0.5924877797787497,0.9606380241831747,0.43787591264353026,459.27272727272725,0.5924877797787497,0.9596089529199897,0.957808078209416,0.9601234885515822,0.9603807563673784,0.9549781322356573,0.9606380241831747,0.9534345253408798,0.9585798816568047,0.9593516851041934
3,CTCF,4,35576,19197,4447,3659,11,10,4447.0,0.613222397121655,0.6242410613897009,0.9292556779851585,0.10720017044051038,0.6242410613897009,0.9673937485945582,0.9015270764764804,0.6242410613897009,0.9673937485945582,0.46039464807735553,581.2727272727273,0.6242410613897009,0.9581740499212953,0.9619968518102091,0.9649201709017315,0.9637958174049921,0.9644704295030357,0.9673937485945582,0.9635709467056442,0.9606476276141219,0.9633460760062964
3,EP300,1,3809,3522,476,469,11,10,477.0,0.1407563025210084,0.12578616352201258,0.8360587002096438,0.2497855641731349,0.12578616352201258,0.9329140461215933,0.7714884696016772,0.12578616352201258,0.9329140461215933,0.07534786033079549,7.2727272727272725,0.12578616352201258,0.9035639412997903,0.9203354297693921,0.9203354297693921,0.9203354297693921,0.9245283018867925,0.9035639412997903,0.9077568134171907,0.9329140461215933,0.9014675052410901
3,EP300,2,1014,956,127,124,11,10,127.0,0.13385826771653545,0.09448818897637795,0.8370078740157479,0.26181151698096516,0.09448818897637795,0.9606299212598425,0.7695060844667143,0.09448818897637795,0.9606299212598425,0.05719921104536489,1.0,0.09448818897637795,0.9133858267716536,0.9133858267716536,0.9448818897637795,0.9133858267716536,0.8976377952755905,0.937007874015748,0.9606299212598425,0.889763779527559,0.905511811023622
3,EP300,3,1470,1388,184,183,11,10,184.0,0.07065217391304347,0.10326086956521739,0.8222826086956522,0.252859227248825,0.10326086956521739,0.9239130434782609,0.7569169960474308,0.10326086956521739,0.9239130434782609,0.055782312925170066,1.6363636363636365,0.10326086956521739,0.8913043478260869,0.907608695652174,0.8967391304347826,0.8858695652173914,0.907608695652174,0.9239130434782609,0.907608695652174,0.9021739130434783,0.8967391304347826
3,EP300,4,2720,2589,340,340,11,10,340.0,0.07352941176470588,0.10588235294117647,0.8320588235294117,0.2558521130054135,0.10588235294117647,0.9470588235294117,0.7660427807486632,0.10588235294117647,0.9470588235294117,0.048161764705882355,3.3636363636363638,0.10588235294117647,0.9088235294117647,0.8735294117647059,0.9147058823529411,0.9029411764705882,0.9294117647058824,0.9205882352941176,0.9117647058823529,0.9470588235294117,0.9058823529411765
3,H3K27ac,1,34032,24816,4254,3863,11,10,4254.0,0.3770568876351669,0.3857545839210155,0.8834038551951104,0.17486735870122666,0.3857545839210155,0.9400564174894217,0.8381630123520108,0.3857545839210155,0.9400564174894217,0.27080394922425954,186.8181818181818,0.3857545839210155,0.9391161259990597,0.9391161259990597,0.9395862717442407,0.9395862717442407,0.9400564174894217,0.9398213446168312,0.9332393041842971,0.9393511988716502,0.9384109073812882
3,H3K27ac,2,24939,18138,3117,2832,11,10,3118.0,0.3708694257298685,0.36690186016677356,0.8814624759461193,0.18080474522582088,0.36690186016677356,0.9416292495189224,0.834684238147997,0.36690186016677356,0.9416292495189224,0.2727054011788765,110.72727272727273,0.36690186016677356,0.9393842206542655,0.9377806286080821,0.9371391917896087,0.9364977549711353,0.9403463758819757,0.9374599101988454,0.9387427838357921,0.9416292495189224,0.9387427838357921
3,H3K27ac,3,24820,16591,3103,2659,11,10,3103.0,0.43280696100547855,0.4582661940058008,0.8964550435062841,0.1539822878361672,0.4582661940058008,0.9490815339993555,0.8566196935516949,0.4582661940058008,0.9490815339993555,0.33154713940370667,122.18181818181819,0.4582661940058008,0.9436029648727038,0.9436029648727038,0.9461811150499516,0.9419916210119239,0.9468256525942637,0.9452143087334838,0.9477924589107316,0.9490815339993555,0.9419916210119239
3,H3K27ac,4,35940,23206,4493,3833,11,10,4493.0,0.46895170264856445,0.4823058090362787,0.902425995993768,0.1476530279877827,0.4823058090362787,0.9557088804807479,0.8642332517249055,0.4823058090362787,0.9557088804807479,0.3543127434613244,204.36363636363637,0.4823058090362787,0.9494769641664812,0.9432450478522145,0.948364121967505,0.9461384375695526,0.9485866904073003,0.9525929223236145,0.948364121967505,0.9557088804807479,0.9494769641664812
3,H3K27me3,1,18262,13463,2283,2092,11,10,2283.0,0.37144108628996936,0.3639947437582129,0.8809899255365746,0.18167367005546167,0.3639947437582129,0.9417433201927289,0.8339903635567235,0.3639947437582129,0.9417433201927289,0.2627861132406089,73.45454545454545,0.3639947437582129,0.9404292597459483,0.938239159001314,0.9391151992991678,0.932544897065265,0.9369250985545335,0.9417433201927289,0.938239159001314,0.9369250985545335,0.9417433201927289
3,H3K27me3,2,8982,7970,1123,1093,11,10,1123.0,0.163846838824577,0.18788958147818344,0.8460373998219056,0.231334051806963,0.18788958147818344,0.9269813000890472,0.7862057799724763,0.18788958147818344,0.9269813000890472,0.11266978401246938,10.727272727272727,0.18788958147818344,0.9269813000890472,0.92520035618878,0.9091718610863758,0.9118432769367765,0.9136242208370436,0.9234194122885129,0.9171861086375779,0.9260908281389136,0.918967052537845
3,H3K27me3,3,5760,4337,720,650,11,10,720.0,0.35,0.3638888888888889,0.8823611111111112,0.18231226368058784,0.3638888888888889,0.9486111111111111,0.8352272727272726,0.3638888888888889,0.9486111111111111,0.24704861111111112,24.09090909090909,0.3638888888888889,0.9402777777777778,0.9222222222222223,0.9416666666666667,0.9486111111111111,0.9430555555555555,0.9430555555555555,0.9430555555555555,0.9430555555555555,0.9347222222222222
