confusion_category,raw_left_flank_100_50,raw_right_flank_50_100,raw_snv_pm10,raw_snv_pm25,plotted_left_flank_100_50,plotted_right_flank_50_100,plotted_snv_pm10,plotted_snv_pm25
FN,0.009902276904778738,0.01006818393464474,0.010607387830192844,0.010435036139873167,0.009902276904778738,0.01006818393464474,0.010607387830192844,0.010435036139873167
FP,0.010240530020137336,0.009805749771002606,0.010653268466260107,0.010422869140282275,0.010240530020137336,0.009805749771002606,0.010653268466260107,0.010422869140282275
TN,0.010235710027445036,0.010343301098647655,0.010389042618196634,0.010220598001188288,0.010235710027445036,0.010343301098647655,0.010389042618196634,0.010220598001188288
TP,0.009870288477954911,0.009681257303785898,0.010313972842081317,0.010133722440805286,0.009870288477954911,0.009681257303785898,0.010313972842081317,0.010133722440805286
