confusion_category,raw_left_flank_100_50,raw_right_flank_50_100,raw_snv_pm10,raw_snv_pm25,plotted_left_flank_100_50,plotted_right_flank_50_100,plotted_snv_pm10,plotted_snv_pm25
FN,0.009691957032180154,0.010345626516523316,0.01073171551893687,0.010118229401297868,0.009691957032180154,0.010345626516523316,0.01073171551893687,0.010118229401297868
FP,0.010913640934718298,0.010286779267914301,0.012176368292199358,0.011277341664147874,0.010913640934718298,0.010286779267914301,0.012176368292199358,0.011277341664147874
TN,0.009917690373372798,0.01037146526699265,0.009955942808162598,0.009958943932472418,0.009917690373372798,0.01037146526699265,0.009955942808162598,0.009958943932472418
TP,0.010897725851676775,0.010245182607231625,0.011285553911612147,0.011239992623372625,0.010897725851676775,0.010245182607231625,0.011285553911612147,0.011239992623372625
