confusion_category,raw_left_flank_100_50,raw_right_flank_50_100,raw_snv_pm10,raw_snv_pm25,plotted_left_flank_100_50,plotted_right_flank_50_100,plotted_snv_pm10,plotted_snv_pm25
FN,0.009639944526750375,0.009852090667312345,0.010004835149628065,0.010049509958053628,0.009639944526750375,0.009852090667312345,0.010004835149628065,0.010049509958053628
FP,0.01045557272008748,0.010571847316516818,0.013492089281346471,0.012792533336517713,0.01045557272008748,0.010571847316516818,0.013492089281346471,0.012792533336517713
TN,0.009460901626586622,0.0097823581557867,0.009670328042203826,0.00983276971289888,0.009460901626586622,0.0097823581557867,0.009670328042203826,0.00983276971289888
TP,0.010363746172310236,0.010193514833044188,0.013610669340539191,0.01345407430191214,0.010363746172310236,0.010193514833044188,0.013610669340539191,0.01345407430191214
