k,assay,train_indiv,train_rows,train_unique,val_rows,val_unique,n_test_files,n_crossdonor_sets,test_rows_mean,val_leaked_frac,primary_test_leaked_frac,crossdonor_leaked_frac_mean,crossdonor_leaked_frac_std,crossdonor_leaked_frac_min,crossdonor_leaked_frac_max,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,train_within_dup_frac,label_conflict_seqs_in_test_mean,crossdonor_set_01,crossdonor_set_02,crossdonor_set_03,crossdonor_set_04,crossdonor_set_05,crossdonor_set_06,crossdonor_set_07,crossdonor_set_08,crossdonor_set_09,crossdonor_set_10
3,ATACseq,1,27611,25212,3451,3398,11,10,3452.0,0.1367719501593741,0.1503476245654693,0.8371958285052143,0.24136075281836591,0.1503476245654693,0.9168597914252608,0.7747550826925104,0.1503476245654693,0.9168597914252608,0.08688566151171634,93.27272727272727,0.1503476245654693,0.9154113557358053,0.9159907300115875,0.9165701042873696,0.910486674391657,0.9136732329084588,0.906720741599073,0.9168597914252608,0.9168597914252608,0.9090382387022016
3,ATACseq,2,64507,55444,8063,7825,11,10,8064.0,0.22634255239985118,0.24503968253968253,0.8566468253968254,0.21490385770465573,0.24503968253968253,0.9280753968253969,0.8010461760461761,0.24503968253968253,0.9280753968253969,0.14049638023780364,602.0909090909091,0.24503968253968253,0.9259672619047619,0.9241071428571429,0.925843253968254,0.9229910714285714,0.9227430555555556,0.9280753968253969,0.9250992063492064,0.9223710317460317,0.9242311507936508
3,ATACseq,3,67040,57589,8394,8141,11,10,8395.0,0.22980700500357398,0.25062537224538417,0.8567599761762954,0.21299916913307848,0.25062537224538417,0.9296009529481835,0.8016568303643943,0.25062537224538417,0.9296009529481835,0.1409755369928401,609.5454545454545,0.25062537224538417,0.9257891602144134,0.9255509231685527,0.923406789755807,0.9222156045265039,0.9251935675997618,0.9296009529481835,0.9243597379392495,0.9242406194163192,0.916617033948779
3,ATACseq,4,52889,44959,6611,6372,11,10,6612.0,0.23460898502495842,0.2453115547489413,0.8566696914700545,0.21481810954597985,0.2453115547489413,0.927555958862674,0.8010916790408623,0.2453115547489413,0.927555958862674,0.14993665979693319,416.3636363636364,0.2453115547489413,0.9228675136116152,0.927555958862674,0.9213551119177253,0.926497277676951,0.9239261947973382,0.9252873563218391,0.9234724742891712,0.926799758015729,0.9236237144585602
3,CTCF,1,34552,21718,4319,3723,11,10,4319.0,0.5084510303310952,0.5278999768464923,0.9115304468626997,0.13483112142349785,0.5278999768464923,0.9597128965038203,0.8766549495884989,0.5278999768464923,0.9597128965038203,0.37144014818244964,481.90909090909093,0.5278999768464923,0.9597128965038203,0.9550821949525353,0.9525353090993286,0.9569344755730493,0.9516091687890715,0.9523037740217642,0.9546191247974068,0.948367677703172,0.9562398703403565
3,CTCF,2,32575,21034,4080,3504,11,10,4081.0,0.4732843137254902,0.48345993629012496,0.9018377848566528,0.14704149190843,0.48345993629012496,0.9558931634403333,0.8638034349869684,0.48345993629012496,0.9558931634403333,0.3542900997697621,386.6363636363636,0.48345993629012496,0.9441313403577555,0.9495221759372703,0.9470717961283999,0.947806910071061,0.9468267581475128,0.9443763783386425,0.9558931634403333,0.9507473658417055,0.9485420240137221
3,CTCF,3,30827,17457,3853,3238,11,10,3854.0,0.5603425901894628,0.596004151530877,0.9237675142708875,0.1151824350311235,0.596004151530877,0.9639335755059678,0.8939708449308864,0.596004151530877,0.9639335755059678,0.4337107081454569,437.0,0.596004151530877,0.9571873378308251,0.9597820446289569,0.9595225739491438,0.9639335755059678,0.9626362221069019,0.9610793980280228,0.9577062791904515,0.9605604566683965,0.9592631032693306
3,CTCF,4,35489,19230,4436,3670,11,10,4437.0,0.6061767357980162,0.6272256028848321,0.9279918864097363,0.10570043574420411,0.6272256028848321,0.9630380887987379,0.9006494969983815,0.6272256028848321,0.9630380887987379,0.45814195948040237,559.1818181818181,0.6272256028848321,0.9556006310570205,0.961911201262114,0.9630380887987379,0.9625873337840883,0.9623619562767636,0.9605589362181655,0.9623619562767636,0.961911201262114,0.9623619562767636
3,EP300,1,3798,3518,475,461,11,10,475.0,0.13894736842105262,0.15368421052631578,0.8341052631578947,0.23936265017962954,0.15368421052631578,0.9284210526315789,0.7722488038277512,0.15368421052631578,0.9284210526315789,0.0737230121116377,10.272727272727273,0.15368421052631578,0.9094736842105263,0.9242105263157895,0.9284210526315789,0.92,0.9031578947368422,0.8926315789473684,0.8989473684210526,0.911578947368421,0.8989473684210526
3,EP300,2,1006,950,126,123,11,10,126.0,0.09523809523809523,0.12698412698412698,0.8333333333333334,0.2500804719173857,0.12698412698412698,0.9603174603174603,0.7691197691197691,0.12698412698412698,0.9603174603174603,0.055666003976143144,0.2727272727272727,0.12698412698412698,0.9126984126984127,0.9603174603174603,0.8888888888888888,0.8968253968253969,0.9126984126984127,0.9603174603174603,0.9047619047619048,0.9126984126984127,0.8571428571428571
