confusion_category,raw_left_flank_100_50,raw_right_flank_50_100,raw_snv_pm10,raw_snv_pm25,plotted_left_flank_100_50,plotted_right_flank_50_100,plotted_snv_pm10,plotted_snv_pm25
FN,0.009948209711514852,0.009899942906865595,0.010459678191913381,0.010379973239265382,0.009948209711514852,0.009899942906865595,0.010459678191913381,0.010379973239265382
FP,0.010769095439098628,0.01063630318944799,0.014748989479350192,0.013946959506254642,0.010769095439098628,0.01063630318944799,0.014748989479350192,0.013946959506254642
TN,0.009888172790262046,0.010104851230394608,0.010459767882268697,0.010169724715252716,0.009888172790262046,0.010104851230394608,0.010459767882268697,0.010169724715252716
TP,0.010392361332333701,0.01056392664984599,0.014933109044629548,0.013227765274699776,0.010392361332333701,0.01056392664984599,0.014933109044629548,0.013227765274699776
