confusion_category,raw_left_flank_100_50,raw_right_flank_50_100,raw_snv_pm10,raw_snv_pm25,plotted_left_flank_100_50,plotted_right_flank_50_100,plotted_snv_pm10,plotted_snv_pm25
FN,0.009948467136013741,0.00993909612599322,0.010254693730246452,0.01022153786647444,0.009948467136013741,0.00993909612599322,0.010254693730246452,0.01022153786647444
FP,0.010577620272342042,0.011175006899307026,0.01362618696476732,0.01347721592274805,0.010577620272342042,0.011175006899307026,0.01362618696476732,0.01347721592274805
TN,0.010025062872662993,0.009965711017139256,0.010502817306578868,0.01033848340359206,0.010025062872662993,0.009965711017139256,0.010502817306578868,0.01033848340359206
TP,0.010579450213916453,0.01035067859124027,0.011499688177635628,0.011365480033059915,0.010579450213916453,0.01035067859124027,0.011499688177635628,0.011365480033059915
